,Are you on the waiting list?,Program,"Programming and Analytical Experiences [R, data manipulation and modeling]",What code/text editor do you use most?,"Programming and Analytical Experiences [R, graphic basics (base, lattice, grid etc. )]","Programming and Analytical Experiences [R, advanced (multivariate data analysis, e.g. spatiotemporal data, visualization and modeling)]",Programming and Analytical Experiences [Reproducible documentation with R (e.g. R Markdown)],"Programming and Analytical Experiences [Matlab, data manipulation, analysis, visualization and modeling]",Programming and Analytical Experiences [Github],R, Excel, SQL, RStudio, ggplot2, Python, Stata, dropbox, google drive (formerly docs), regular expressions (grep), Github, shell (terminal / command line), LaTeX, Sweave/knitr, XML, Web: html css js,Excel, C/C++,Matlab, R, SPSS, lattice,RStudio,Github,SQL,shell (terminal / command line),Python
51,False,IDSE (master),1,I used jupyter last semester,0,0,1,0,0,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
52,False,Data Science Certification,1,vi/vim,1,1,0,1,1,False,True,True,True,False,True,False,True,True,False,True,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False
53,False,IDSE (master),1,vi/vim,1,1,1,1,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
54,False,Statistics (master),1,RStudio,1,0,0,0,0,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,False,IDSE (master),2,RStudio,1,1,2,2,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False
56,True,Statistics (master),1,RStudio,1,1,1,1,1,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
57,False,IDSE (master),2,notepad++,1,1,2,2,1,True,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58,True,Ph.D.,2,RStudio,2,1,0,1,0,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
59,False,IDSE (master),2,RStudio,1,1,1,0,0,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
60,False,Data Science Certification,2,RStudio,1,1,2,1,1,True,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
61,True,Statistics (master),3,RStudio,2,2,2,2,1,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False
62,False,IDSE (master),2,vi/vim,1,1,0,0,2,True,False,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
